"Reference","Value","Footprint","Qty","Manufacturer Part"
"hole1,hole2,hole3,hole4","~","persional_library:m3 125x300","4",""
"CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16","~","persional_library:CONN-TH_2P-P1.25_XUNPU_WAFER-GH1.25-2PWB","16","WAFER-GH1.25-2PWB"
"R1,R2,R4,R5,R7,R8,R11,R12,R14,R15,R16,R17,R18,R20,R21,R22,R23,R24","NC","persional_library:R0603","18","0603WAF1002T5E"
"R3,R6,R9,R10,R13,R19","0Ω","persional_library:R0603","6","0603WAF1002T5E"
"R25,R26,R27,R28,R33","10kΩ","persional_library:R0603","5","0603WAF1002T5E"
"R34","10Ω","persional_library:R0603","1","0603WAF1002T5E"
"R35","100kΩ","persional_library:R0603","1","0603WAF1002T5E"
"R36","13.7kΩ","persional_library:R0603","1","0603WAF1002T5E"
"C1,C2,C9,C14,C17,C22,C25,C30","1uF","persional_library:C0603","8","CL10A105KB8NNNC"
"C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C15,C16,C18,C19,C20,C21,C23,C24,C26,C27,C28,C29,C31,C32","10uF","persional_library:C0603","24","CL10A105KB8NNNC"
"C37","220pF","persional_library:C0603","1","CL10A105KB8NNNC"
"C33,C41","1uF","persional_library:C0805","2","CL21A226MAQNNNE"
"C34,C35,C36,C39,C40","22uF","persional_library:C0805","5","CL21A226MAQNNNE"
"C38","100nF","persional_library:C0805","1","CL21A226MAQNNNE"
"SW2","~","persional_library:SW-SMD_16P-L11.7-W5.4-P1.27-LS8.5","1","DSHP08TSGER"
"L1","3.3uH","persional_library:IND-SMD_L7.0-W6.6","1","FXL0630-2R2-M"
"LED1,LED2,LED3,LED4","~","persional_library:LED0603-RD","4","LTST-C190KSKT"
"U5","~","persional_library:SOT-23-8_L2.9-W1.6-P0.65-LS2.8-BR","1","MP2236GJ-Z"
"SW1","~","persional_library:SW-TH_SK12D07VG4","1","SK12D07VG4"
"CN17","~","persional_library:CONN-TH_XT30PW-M","1","XT30PW-M30.G.Y"
"CN18","~","persional_library:CONN-TH_2P-P2.50_HX25003-2A","1","ZX-XH2.54-2PZZ"
"U1,U2,U3,U4","~","persional_library:VQFN-20_L5.0-W5.0-P0.65-TL-EP","4","TPS7A4701RGWR"
